"Reference","Value","Footprint","Digi-Key_PN","Qty"
"C1","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C2","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","1"
"C3","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","1"
"C4","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","1"
"C5","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","1"
"C6","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","1"
"C7","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","1"
"C8","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","1"
"C9","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","1"
"C10","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C11","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C12","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C13","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C14","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C15","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C16","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C17","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C18","1uF","Capacitor_SMD:C_0805_2012Metric","311-1365-1-ND","1"
"C19","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C20","27pF","Capacitor_SMD:C_0805_2012Metric","478-10518-1-ND","1"
"C21","27pF","Capacitor_SMD:C_0805_2012Metric","478-10518-1-ND","1"
"C22","15pF","Capacitor_SMD:C_0805_2012Metric","311-4165-1-ND","1"
"C23","15pF","Capacitor_SMD:C_0805_2012Metric","311-4165-1-ND","1"
"C24","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C25","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C26","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C27","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C28","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C29","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C30","4.7uF","Capacitor_SMD:C_0805_2012Metric","1276-2873-1-ND","1"
"C31","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","1"
"C32","1uF","Capacitor_SMD:C_0805_2012Metric","311-1365-1-ND","1"
"C33","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C34","0.47F/3.5V","SuperCap:FC0V474ZFTBR24","399-10942-1-ND","1"
"C35","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C36","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C37","10uF","Capacitor_SMD:C_0805_2012Metric","445-11516-1-ND","1"
"C38","22uF","Capacitor_SMD:C_0805_2012Metric","490-10749-1-ND","1"
"C39","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
"C40","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","1"
