"Reference","Value","Footprint","Digi-Key_PN","LCSC","Qty"
"C1","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","C49678","1"
"C2","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","C49678","1"
"C3","10uF","Capacitor_SMD:C_0805_2012Metric","445-11516-1-ND","C15850","1"
"C4","22uF","Capacitor_SMD:C_0805_2012Metric","490-10749-1-ND","C45783","1"
"C5","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","C49678","1"
"C6","10uF","Capacitor_SMD:C_0805_2012Metric","445-11516-1-ND","C15850","1"
"C7","27pF","Capacitor_SMD:C_0805_2012Metric","478-10518-1-ND","C1808","1"
"C8","27pF","Capacitor_SMD:C_0805_2012Metric","478-10518-1-ND","C1808","1"
"C9","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","C49678","1"
"C11","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","C49678","1"
"C12","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","C49678","1"
"C13","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","C49678","1"
"C14","4.7uF","Capacitor_SMD:C_0805_2012Metric","1276-2873-1-ND","C1779","1"
"C15","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","C1710","1"
"C16","1uF","Capacitor_SMD:C_0805_2012Metric","311-1365-1-ND","C28323","1"
"C17","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","C49678","1"
"C18","1uF","Capacitor_SMD:C_0805_2012Metric","311-1365-1-ND","C28323","1"
"C19","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","C1710","1"
"C20","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","C1710","1"
"C21","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","C49678","1"
"C22","47nF","Capacitor_SMD:C_0805_2012Metric","399-1166-1-ND","C520039","1"
"C23","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","C49678","1"
"C24","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","C1710","1"
"C25","220pF","Capacitor_SMD:C_0805_2012Metric","399-1138-1-ND","C576920","1"
"C26","47nF","Capacitor_SMD:C_0805_2012Metric","399-1166-1-ND","C520039","1"
"C27","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","C49678","1"
"C28","10nF","Capacitor_SMD:C_0805_2012Metric","311-1136-1-ND","C1710","1"
"C29","220pF","Capacitor_SMD:C_0805_2012Metric","399-1138-1-ND","C576920","1"
"C30","47nF","Capacitor_SMD:C_0805_2012Metric","399-1166-1-ND","C520039","1"
"C31","100nF","Capacitor_SMD:C_0805_2012Metric","478-1395-1-ND","C49678","1"
"C32","220pF","Capacitor_SMD:C_0805_2012Metric","399-1138-1-ND","C576920","1"
