Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,0805,-16.916400,-26.543000,180.000000,top
C2,100nF,0805,-27.813000,-34.036000,0.000000,top
C3,10uF,0805,-22.799000,-34.036000,180.000000,top
C4,22uF,0805,-32.766000,-42.926000,90.000000,top
C5,100nF,0805,-6.766600,-44.297600,90.000000,top
C6,10uF,0805,-15.910600,-39.725600,90.000000,top
C7,27pF,0805,0.965200,-49.326800,180.000000,top
C8,27pF,0805,4.673600,-49.326800,0.000000,top
C9,100nF,0805,4.775200,16.256000,90.000000,top
C11,100nF,0805,9.144000,-29.870400,0.000000,top
C12,100nF,0805,-2.489200,-38.862000,180.000000,top
C13,100nF,0805,-1.625600,-29.159200,90.000000,top
C14,4.7uF,0805,-2.489200,-41.046400,180.000000,top
C15,10nF,0805,10.160000,-44.043600,0.000000,top
C16,1uF,0805,10.160000,-46.482000,0.000000,top
C17,100nF,0805,-28.702000,7.366000,90.000000,top
C18,1uF,0805,-27.734500,-16.891000,90.000000,top
C19,10nF,0805,15.494000,-31.750000,180.000000,top
C20,10nF,0805,16.256000,-28.702000,-90.000000,top
C21,100nF,0805,28.194000,-46.416000,90.000000,top
C22,47nF,0805,6.604000,-13.208000,90.000000,top
C23,100nF,0805,16.256000,-15.240000,180.000000,top
C24,10nF,0805,22.860000,-9.144000,180.000000,top
C25,220pF,0805,11.176000,-23.302000,-90.000000,top
C26,47nF,0805,-15.748000,-15.240000,0.000000,top
C27,100nF,0805,-6.604000,-13.208000,90.000000,top
C28,10nF,0805,-22.860000,-9.144000,0.000000,top
C29,220pF,0805,-11.684000,-23.368000,-90.000000,top
C30,47nF,0805,-4.064000,-13.208000,90.000000,top
C31,100nF,0805,4.064000,-13.208000,90.000000,top
C32,220pF,0805,1.524000,-26.416000,180.000000,top
D1,3.3V,SOD-323,12.827000,-27.559000,0.000000,top
D2,SMCJ20CA,DO-214AB,-33.655000,-30.586000,-90.000000,top
D3,GRN,0805,-9.814600,-38.201600,0.000000,top
D4,NUP2105LT1G,SOT-23-3,8.702000,11.142000,-90.000000,top
D5,RED,0805,-23.495000,-19.685000,180.000000,top
D6,BAT54S,SOT-23,19.456400,-32.512000,180.000000,top
D7,BAT54S,SOT-23,19.433300,-28.768000,180.000000,top
D8,BYG23M,DO-214AC,22.860000,-6.096000,0.000000,top
D9,3.3V,SOD-323,14.224000,-22.352000,180.000000,top
D10,BYG23M,DO-214AC,-23.368000,-6.096000,180.000000,top
D11,3.3V,SOD-323,-8.128000,-22.352000,180.000000,top
D12,3.3V,SOD-323,1.016000,-22.352000,180.000000,top
FB1,Ferrite_Bead_Small,0805,10.160000,-41.656000,180.000000,top
R1,47k,0805,-16.865600,-22.352000,0.000000,top
R2,10k,0805,-16.916400,-24.434800,180.000000,top
R3,120R,0805,-6.766600,-40.741600,-90.000000,top
R4,10k,0805,-6.096000,-36.703000,180.000000,top
R5,1k,0805,13.970000,19.812000,0.000000,top
R6,10k,0805,-34.798000,2.032000,90.000000,top
R7,10k,0805,-33.401000,-5.969000,90.000000,top
R8,100R,0805,-27.305000,-19.685000,180.000000,top
R9,4.7k,0805,20.828000,-24.130000,90.000000,top
R10,4.7k,0805,22.606000,-31.750000,90.000000,top
R11,1.2k,0805,25.019000,-40.005000,180.000000,top
R12,1.2k,0805,16.637000,-46.101000,180.000000,top
R13,4.7k,0805,9.144000,-19.304000,-90.000000,top
R14,4.7k,0805,11.176000,-19.304000,-90.000000,top
R15,1.2k,0805,13.208000,-19.304000,-90.000000,top
R16,47R 1/4W,1206,6.604000,-18.796000,90.000000,top
R17,4.7K,0805,15.240000,-19.304000,90.000000,top
R18,4.7k,0805,14.732000,-24.384000,0.000000,top
R19,4.7k,0805,-13.208000,-19.304000,-90.000000,top
R20,4.7k,0805,-11.176000,-19.304000,-90.000000,top
R21,1.2k,0805,-9.144000,-19.304000,-90.000000,top
R22,47R 1/4W,1206,-15.748000,-18.796000,90.000000,top
R23,4.7K,0805,-7.112000,-19.304000,90.000000,top
R24,4.7k,0805,-8.128000,-24.384000,0.000000,top
R25,1.2k,0805,19.050000,-40.132000,180.000000,top
R26,4.7k,0805,-3.048000,-22.860000,-90.000000,top
R27,4.7k,0805,-2.032000,-19.304000,-90.000000,top
R28,4.7k,0805,4.064000,-19.304000,90.000000,top
R29,4.7k,0805,5.080000,-22.860000,-90.000000,top
R30,1.2k,0805,0.000000,-19.304000,-90.000000,top
R31,47R 1/4W,1206,-4.572000,-18.857500,90.000000,top
R32,4.7K,0805,2.032000,-19.304000,90.000000,top
R33,4.7k,0805,1.524000,-24.384000,0.000000,top
R34,4.7k,0805,-6.197600,24.942800,90.000000,top
R35,4.7k,0805,-8.229600,24.942800,-90.000000,top
R36,4.7k,0805,0.000000,24.892000,90.000000,top
R37,4.7k,0805,-2.032000,24.892000,-90.000000,top
U2,LD1117S33CTR,SOT-223,-11.338600,-44.094000,0.000000,top
U3,PCA82C250,SOIC-8,8.763000,18.223000,-90.000000,top
U4,STM32F303CCTx,LQFP-48,3.352800,-34.391600,90.000000,top
U5,MB85RC256V,SOIC-8,-32.893000,9.333000,-90.000000,top
U6,MCP9808,MSOP-8,-23.162500,-16.383000,180.000000,top
U7,LM324,TSSOP-14,23.114000,-44.043600,180.000000,top
U11,BTS7008-2EPA,TDSO-14,0.082000,-12.700000,90.000000,top
U12,BTS724G,PG-DSO-20-32,-4.064000,15.748000,-90.000000,top
Y1,8mHz,5032-2Pin,2.794000,-45.974000,0.000000,top
