Comment,Designator,Footprint,LCPCB Part#
100nF,C1,0805,C49678
100nF,C2,0805,C49678
10uF,C3,0805,C15850
22uF,C4,0805,C45783
100nF,C5,0805,C49678
10uF,C6,0805,C15850
27pF,C7,0805,C1808
27pF,C8,0805,C1808
100nF,C9,0805,C49678
100nF,C11,0805,C49678
100nF,C12,0805,C49678
100nF,C13,0805,C49678
4.7uF,C14,0805,C1779
10nF,C15,0805,C1710
1uF,C16,0805,C28323
100nF,C17,0805,C49678
1uF,C18,0805,C28323
10nF,C19,0805,C1710
10nF,C20,0805,C1710
100nF,C21,0805,C49678
47nF,C22,0805,C520039
100nF,C23,0805,C49678
10nF,C24,0805,C1710
220pF,C25,0805,C576920
47nF,C26,0805,C520039
100nF,C27,0805,C49678
10nF,C28,0805,C1710
220pF,C29,0805,C576920
47nF,C30,0805,C520039
100nF,C31,0805,C49678
220pF,C32,0805,C576920
3.3V,D1,SOD-323,C177016
SMCJ20CA,D2,DO-214AB,C2760132
GRN,D3,0805,C2899888
NUP2105LT1G,D4,SOT-23-3,C2976509
RED,D5,0805,C2899997
BAT54S,D6,SOT-23,C47546
BAT54S,D7,SOT-23,C47546
BYG23M,D8,DO-214AC,C141573
3.3V,D9,SOD-323,C177016
BYG23M,D10,DO-214AC,C141573
3.3V,D11,SOD-323,C177016
3.3V,D12,SOD-323,C177016
Ferrite_Bead_Small,FB1,0805,C85840
47k,R1,0805,C327035
10k,R2,0805,C17414
120R,R3,0805,C229076
10k,R4,0805,C17414
1k,R5,0805,C17513
10k,R6,0805,C17414
10k,R7,0805,C17414
120R,R8,0805,C229076
4.7k,R9,0805,C17673
4.7k,R10,0805,C17673
1.2k,R11,0805,C727987
1.2k,R12,0805,C727987
4.7k,R13,0805,C17673
4.7k,R14,0805,C17673
1.2k,R15,0805,C727987
47R 1/4W,R16,1206,C2907508
4.7K,R17,0805,C17673
4.7k,R18,0805,C17673
4.7k,R19,0805,C17673
4.7k,R20,0805,C17673
1.2k,R21,0805,C727987
47R 1/4W,R22,1206,C2907508
4.7K,R23,0805,C17673
4.7k,R24,0805,C17673
1.2k,R25,0805,C727987
4.7k,R26,0805,C17673
4.7k,R27,0805,C17673
4.7k,R28,0805,C17673
4.7k,R29,0805,C17673
1.2k,R30,0805,C727987
47R 1/4W,R31,1206,C2907508
4.7K,R32,0805,C17673
4.7k,R33,0805,C17673
4.7k,R34,0805,C17673
4.7k,R35,0805,C17673
4.7k,R36,0805,C17673
4.7k,R37,0805,C17673
LD1117S33CTR,U2,SOT-223,C35879
PCA82C250,U3,SOIC-8,C7439
STM32F303CCTx,U4,LQFP-48,C81523
MB85RC256V,U5,SOIC-8,C47538
MCP9808,U6,MSOP-8,C129490
LM324,U7,TSSOP-14,C7944
BTS700n-1EPP,U8,TDSO-14,C534824
BTS700n-1EPP,U9,TDSO-14,C534824
BTS7008-2EPA,U11,TDSO-14,C2150060
BTS724G,U12,PG-DSO-20-32,C82656
8mHz,Y1,5032-2Pin,C144380
