"Comment","Designator","Footprint","LCSC Part#"
"100nF","C1","Capacitor_SMD:C_0805_2012Metric","C49678"
"100nF","C2","Capacitor_SMD:C_0805_2012Metric","C49678"
"10uF","C3","Capacitor_SMD:C_0805_2012Metric","C15850"
"22uF","C4","Capacitor_SMD:C_0805_2012Metric","C45783"
"100nF","C5","Capacitor_SMD:C_0805_2012Metric","C49678"
"10uF","C6","Capacitor_SMD:C_0805_2012Metric","C15850"
"27pF","C7","Capacitor_SMD:C_0805_2012Metric","C1808"
"27pF","C8","Capacitor_SMD:C_0805_2012Metric","C1808"
"100nF","C9","Capacitor_SMD:C_0805_2012Metric","C49678"
"47nF","C10","Capacitor_SMD:C_0805_2012Metric","C520039"
"100nF","C11","Capacitor_SMD:C_0805_2012Metric","C49678"
"100nF","C12","Capacitor_SMD:C_0805_2012Metric","C49678"
"100nF","C13","Capacitor_SMD:C_0805_2012Metric","C49678"
"4.7uF","C14","Capacitor_SMD:C_0805_2012Metric","C1779"
"100nF","C15","Capacitor_SMD:C_0805_2012Metric","C49678"
"1uF","C16","Capacitor_SMD:C_0805_2012Metric","C28323"
"100nF","C17","Capacitor_SMD:C_0805_2012Metric","C49678"
"1uF","C18","Capacitor_SMD:C_0805_2012Metric","C28323"
"10nF","C19","Capacitor_SMD:C_0805_2012Metric","C1710"
"10nF","C20","Capacitor_SMD:C_0805_2012Metric","C1710"
"100nF","C21","Capacitor_SMD:C_0805_2012Metric","C49678"
"47nF","C22","Capacitor_SMD:C_0805_2012Metric","C520039"
"100nF","C23","Capacitor_SMD:C_0805_2012Metric","C49678"
"10nF","C24","Capacitor_SMD:C_0805_2012Metric","C1710"
"220pF","C25","Capacitor_SMD:C_0805_2012Metric","C576920"
"47nF","C26","Capacitor_SMD:C_0805_2012Metric","C520039"
"100nF","C27","Capacitor_SMD:C_0805_2012Metric","C49678"
"10nF","C28","Capacitor_SMD:C_0805_2012Metric","C1710"
"220pF","C29","Capacitor_SMD:C_0805_2012Metric","C576920"
"47nF","C30","Capacitor_SMD:C_0805_2012Metric","C520039"
"100nF","C31","Capacitor_SMD:C_0805_2012Metric","C49678"
"220pF","C32","Capacitor_SMD:C_0805_2012Metric","C576920"
"100nF","C33","Capacitor_SMD:C_0805_2012Metric","C49678"
"220pF","C34","Capacitor_SMD:C_0805_2012Metric","C576920"
"47nF","C35","Capacitor_SMD:C_0805_2012Metric","C520039"
"100nF","C36","Capacitor_SMD:C_0805_2012Metric","C49678"
"220pF","C37","Capacitor_SMD:C_0805_2012Metric","C576920"
"4.7uF","C38","Capacitor_SMD:C_0805_2012Metric","C1779"
"100nF","C39","Capacitor_SMD:C_0805_2012Metric","C49678"
"100nF","C40","Capacitor_SMD:C_0805_2012Metric","C49678"
"3.3V","D1","Diode_SMD:D_SOD-323_HandSoldering","C177016"
"SMCJ20CA","D2","digikey-footprints:DO-214AB_TVS","C2760132"
"GRN","D3","LED_SMD:LED_0805_2012Metric","C2899888"
"NUP2105LT1G","D4","digikey-footprints:SOT-23-3","C2976509"
"RED","D5","LED_SMD:LED_0805_2012Metric","C2899997"
"BAT54S","D6","Package_TO_SOT_SMD:SOT-23","C47546"
"BAT54S","D7","Package_TO_SOT_SMD:SOT-23","C47546"
"BYG23M","D8","digikey-footprints:DO-214AC","C141573"
"3.3V","D9","Diode_SMD:D_SOD-323_HandSoldering","C177016"
"BYG23M","D10","digikey-footprints:DO-214AC","C141573"
"3.3V","D11","Diode_SMD:D_SOD-323_HandSoldering","C177016"
"3.3V","D12","Diode_SMD:D_SOD-323_HandSoldering","C177016"
"3.3V","D13","Diode_SMD:D_SOD-323_HandSoldering","C177016"
"3.3V","D14","Diode_SMD:D_SOD-323_HandSoldering","C177016"
"Schottky","D15","Diode_SMD:D_SOD-123","C179426"
"GRN","D16","LED_SMD:LED_0805_2012Metric","C2899888"
"RED","D17","LED_SMD:LED_0805_2012Metric","C2899997"
"Schottky","D18","Diode_SMD:D_SOD-123","C179426"
"Ferrite_Bead_Small","FB1","Resistor_SMD:R_0805_2012Metric","C85840"
"47K","R1","Resistor_SMD:R_0805_2012Metric","C327035"
"10K","R2","Resistor_SMD:R_0805_2012Metric","C17414"
"120R","R3","Resistor_SMD:R_0805_2012Metric","C229076"
"10K","R4","Resistor_SMD:R_0805_2012Metric","C17414"
"1K","R5","Resistor_SMD:R_0805_2012Metric","C17513"
"10K","R6","Resistor_SMD:R_0805_2012Metric","C17414"
"10K","R7","Resistor_SMD:R_0805_2012Metric","C17414"
"120R","R8","Resistor_SMD:R_0805_2012Metric","C229076"
"4.7K","R9","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R10","Resistor_SMD:R_0805_2012Metric","C17673"
"120R","R11","Resistor_SMD:R_0805_2012Metric","C229076"
"120R","R12","Resistor_SMD:R_0805_2012Metric","C229076"
"4.7K","R13","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R14","Resistor_SMD:R_0805_2012Metric","C17673"
"1.2K","R15","Resistor_SMD:R_0805_2012Metric","C727987"
"47R 1/4W","R16","Resistor_SMD:R_1206_3216Metric","C2907508"
"4.7K","R17","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R18","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R19","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R20","Resistor_SMD:R_0805_2012Metric","C17673"
"1.2K","R21","Resistor_SMD:R_0805_2012Metric","C727987"
"47R 1/4W","R22","Resistor_SMD:R_1206_3216Metric","C2907508"
"4.7K","R23","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R24","Resistor_SMD:R_0805_2012Metric","C17673"
"120R","R25","Resistor_SMD:R_0805_2012Metric","C229076"
"4.7K","R26","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R27","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R28","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R29","Resistor_SMD:R_0805_2012Metric","C17673"
"1.2K","R30","Resistor_SMD:R_0805_2012Metric","C727987"
"47R 1/4W","R31","Resistor_SMD:R_1206_3216Metric","C2907508"
"4.7K","R32","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R33","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R34","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R35","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R36","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R37","Resistor_SMD:R_0805_2012Metric","C17673"
"1.2K","R38","Resistor_SMD:R_0805_2012Metric","C727987"
"47R 1/4W","R39","Resistor_SMD:R_1206_3216Metric","C2907508"
"4.7K","R40","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R41","Resistor_SMD:R_0805_2012Metric","C17673"
"120R","R42","Resistor_SMD:R_0805_2012Metric","C229076"
"4.7K","R43","Resistor_SMD:R_0805_2012Metric","C17673"
"4.7K","R44","Resistor_SMD:R_0805_2012Metric","C17673"
